UserID,ISBN,BookRating
8,0002005018,5
8,074322678X,5
8,0887841740,5
8,1552041778,5
8,1567407781,6
8,1575663937,6
8,1881320189,7
9,0452264464,6
12,1879384493,10
14,0061076031,5
14,0439095026,5
14,0689821166,6
16,0345402871,9
19,0375759778,7
22,3404921038,7
26,0446310786,10
26,0449005615,9
32,0060168013,8
39,0553582909,8
39,0671888587,7
42,0553582747,7
44,0440223571,8
51,0440225701,9
53,0060914068,3
53,0156047624,10
53,0245542957,6
53,0380715899,9
56,0671623249,7
56,0679865691,9
64,2070423204,7
67,0394743741,7
69,1853260053,8
70,1414035004,10
73,0060938412,5
75,1558531025,5
78,0394895894,8
81,0375410538,5
82,0966986105,10
83,087113375X,7
85,0340767936,5
86,0060930365,4
87,0071416331,8
87,0375509038,8
88,0553062042,7
91,0316769487,9
92,8445071408,7
92,8445071769,8
92,8445071777,10
97,0671867156,7
99,0312252617,8
99,0312261594,8
99,0316748641,7
99,0385235941,6
99,0446677450,10
99,0451166892,3
99,0553347594,9
99,0671621009,10
102,8472238822,7
107,0671864769,8
109,0671521519,5
110,0440222303,6
114,0312953453,7
114,0446608653,9
114,0446612545,9
114,0446612618,8
114,0451208080,8
114,0553584383,9
114,0671027360,10
114,0812575954,5
125,0679429220,10
129,0316735736,7
133,0345372700,10
141,0840734530,10
162,0451205197,5
165,0060976845,9
165,0061099325,4
165,0446612545,5
169,0446601640,7
176,1900850303,4
178,0451410319,6
183,2070567842,8
183,8401422825,9
183,8440630794,7
183,847223973X,9
183,8476409419,8
185,0380778556,10
190,0002740230,7
202,0140252800,6
212,0060801263,8
215,0061030147,6
217,0140250964,8
224,0446527165,8
226,0671461494,8
228,0385337639,7
228,039575514X,9
230,0451206673,6
232,0486284735,8
232,0671021745,4
232,0671047612,6
232,0671504282,6
242,0553278223,10
242,3150000335,10
242,3257203659,9
242,3257207522,10
242,3257208626,8
242,3257208634,10
242,3257208669,9
242,3257210450,10
242,3257212054,10
242,3257212429,10
242,3257214154,9
